event_id,facility_id,facility_name,building_id,building_name,block_id,block_name,access_point_id,access_point_name,zone_type,timestamp,user_id,user_name,user_type,event_type,access_status,after_hours,unauthorized_attempt,forced_entry,tailgating_detected,cctv_event,severity,security_alert
SEC-000111,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 05:59:28,EMP-0094,Employee 94,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000104,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 06:11:28,EMP-0106,Employee 106,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000058,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 06:47:16,EMP-0187,Employee 187,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000140,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 06:48:09,EMP-0042,Employee 42,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000147,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 07:07:03,VIS-0283,Visitor 283,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000152,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 07:41:43,EMP-0027,Employee 27,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000096,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 07:41:52,CON-0147,Contractor 147,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000117,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 07:44:43,EMP-0193,Employee 193,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000093,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 07:55:28,EMP-0126,Employee 126,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000087,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 08:07:10,CON-0126,Contractor 126,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000053,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 08:12:05,EMP-0307,Employee 307,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000052,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 08:12:37,EMP-0260,Employee 260,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000007,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 08:20:55,EMP-0118,Employee 118,EMPLOYEE,ACCESS_DENIED,DENIED,0,0,0,0,NORMAL,MEDIUM,1
SEC-000107,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 08:20:59,CON-0052,Contractor 52,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000109,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 08:34:58,EMP-0082,Employee 82,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000129,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 08:36:16,EMP-0164,Employee 164,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000059,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 08:44:08,EMP-0424,Employee 424,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000082,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 08:45:13,EMP-0293,Employee 293,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000021,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 08:45:25,EMP-0315,Employee 315,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000099,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 09:02:29,EMP-0451,Employee 451,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000133,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 09:17:21,EMP-0255,Employee 255,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000118,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 09:22:46,EMP-0099,Employee 99,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000031,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 09:40:40,VIS-0116,Visitor 116,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000066,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 09:46:12,EMP-0308,Employee 308,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000156,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 09:53:12,VIS-0132,Visitor 132,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000028,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 09:55:22,EMP-0224,Employee 224,EMPLOYEE,ACCESS_DENIED,DENIED,0,0,0,0,NORMAL,MEDIUM,1
SEC-000015,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 09:59:33,CON-0047,Contractor 47,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000018,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 10:05:26,CON-0029,Contractor 29,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000051,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 10:16:54,EMP-0180,Employee 180,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000032,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 10:17:03,CON-0103,Contractor 103,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000050,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 10:20:53,EMP-0469,Employee 469,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000056,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 10:28:41,VIS-0075,Visitor 75,VISITOR,UNAUTHORIZED_ACCESS,DENIED,0,1,0,0,SUSPICIOUS_ACCESS,HIGH,1
SEC-000025,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 10:29:39,EMP-0226,Employee 226,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000139,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 10:45:37,EMP-0417,Employee 417,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000004,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 11:00:39,VIS-0010,Visitor 10,VISITOR,UNAUTHORIZED_ACCESS,DENIED,0,1,0,0,SUSPICIOUS_ACCESS,HIGH,1
SEC-000083,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 11:00:57,EMP-0417,Employee 417,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000114,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 11:12:32,EMP-0267,Employee 267,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000115,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 11:16:28,CON-0087,Contractor 87,CONTRACTOR,UNAUTHORIZED_ACCESS,DENIED,0,1,0,0,SUSPICIOUS_ACCESS,HIGH,1
SEC-000098,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 11:40:46,EMP-0496,Employee 496,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000012,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 11:53:04,EMP-0435,Employee 435,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000103,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 11:57:53,CON-0106,Contractor 106,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000003,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 12:04:11,EMP-0174,Employee 174,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000067,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 12:05:06,CON-0147,Contractor 147,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000070,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 12:06:10,EMP-0271,Employee 271,EMPLOYEE,UNAUTHORIZED_ACCESS,DENIED,0,1,0,0,SUSPICIOUS_ACCESS,HIGH,1
SEC-000068,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 12:11:06,EMP-0091,Employee 91,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000027,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 12:27:41,EMP-0279,Employee 279,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000048,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 12:29:44,CON-0068,Contractor 68,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000116,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 12:35:02,EMP-0475,Employee 475,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000069,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 12:41:40,EMP-0232,Employee 232,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000135,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 12:45:30,EMP-0073,Employee 73,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000080,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 12:47:03,EMP-0025,Employee 25,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000119,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 12:55:32,VIS-0012,Visitor 12,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000034,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 13:08:09,EMP-0083,Employee 83,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000054,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 13:08:58,EMP-0433,Employee 433,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000123,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 13:20:40,EMP-0244,Employee 244,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000078,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 13:24:05,EMP-0252,Employee 252,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000100,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 13:26:56,EMP-0376,Employee 376,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000035,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 13:37:12,EMP-0180,Employee 180,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000049,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 13:48:22,VIS-0089,Visitor 89,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000086,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 14:16:38,EMP-0355,Employee 355,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000057,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 14:26:35,EMP-0291,Employee 291,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000131,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 14:28:09,EMP-0385,Employee 385,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000102,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 14:35:55,VIS-0210,Visitor 210,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000157,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 14:38:41,EMP-0395,Employee 395,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000097,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 14:39:16,EMP-0326,Employee 326,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000002,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 14:39:41,CON-0019,Contractor 19,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000022,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 14:42:37,EMP-0296,Employee 296,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000138,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 14:50:17,EMP-0296,Employee 296,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000149,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 15:03:46,EMP-0068,Employee 68,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000154,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 15:04:02,EMP-0019,Employee 19,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000029,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 15:12:09,VIS-0114,Visitor 114,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000060,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 15:20:06,VIS-0117,Visitor 117,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000030,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 15:33:03,VIS-0186,Visitor 186,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000077,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 15:33:25,VIS-0103,Visitor 103,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000073,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 15:56:50,CON-0080,Contractor 80,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000039,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 16:10:56,EMP-0444,Employee 444,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000121,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 16:40:55,CON-0085,Contractor 85,CONTRACTOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000036,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 16:43:09,EMP-0073,Employee 73,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000134,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 16:46:31,EMP-0486,Employee 486,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000023,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 16:47:59,VIS-0198,Visitor 198,VISITOR,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000105,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 16:50:51,EMP-0211,Employee 211,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000120,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 16:51:15,VIS-0039,Visitor 39,VISITOR,UNAUTHORIZED_ACCESS,DENIED,0,1,0,0,SUSPICIOUS_ACCESS,HIGH,1
SEC-000019,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 16:51:40,EMP-0244,Employee 244,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
SEC-000061,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 16:53:03,EMP-0225,Employee 225,EMPLOYEE,ACCESS_GRANTED,GRANTED,0,0,0,0,NORMAL,NORMAL,0
