facility_id,facility_name,building_id,building_name,block_id,block_name,timestamp,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,temperature_c,occupancy,is_anomaly
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 04:45:00,394.75,124.62,264.6,111.1,23.54,48,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 05:00:00,445.64,136.49,281.81,90.85,28.77,32,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 05:15:00,441.07,123.6,267.08,91.95,25.59,10,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 05:30:00,461.89,151.18,169.27,108.21,29.35,44,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 05:45:00,463.88,165.4,202.19,74.99,23.17,29,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 06:00:00,417.35,180.9,190.38,64.18,29.68,14,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 06:15:00,565.14,188.31,277.13,52.46,28.24,36,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 06:30:00,588.41,93.77,244.56,58.03,26.13,7,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 06:45:00,518.02,186.9,268.64,75.51,28.76,29,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 07:00:00,469.04,103.49,157.25,73.2,24.28,24,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 07:15:00,394.52,132.72,241.28,91.68,25.05,19,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 07:30:00,485.52,141.55,161.66,87.13,31.38,19,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 07:45:00,526.05,196.37,174.48,97.87,29.28,23,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 08:00:00,458.88,197.69,260.69,75.53,27.7,100,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 08:15:00,394.33,149.16,292.69,91.04,24.02,188,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 08:30:00,767.95,195.82,675.49,121.27,26.23,154,True
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 08:45:00,553.21,167.64,198.69,51.64,22.9,161,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 09:00:00,481.33,144.91,170.54,96.93,22.06,223,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 09:15:00,536.19,126.48,160.57,66.86,28.93,228,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 09:30:00,549.4,182.88,271.14,92.97,24.75,223,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 09:45:00,509.63,176.69,248.23,75.29,26.79,275,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 10:00:00,396.68,93.48,285.31,106.84,31.52,252,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 10:15:00,455.08,170.48,271.31,90.77,23.67,174,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 10:30:00,546.15,151.92,242.29,91.91,27.97,272,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 10:45:00,591.33,144.35,248.81,91.52,24.62,200,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 11:00:00,473.74,135.23,172.94,87.2,29.16,130,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 11:15:00,567.75,157.39,252.69,102.59,25.15,207,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 11:30:00,526.49,195.72,234.54,92.23,23.94,283,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 11:45:00,470.31,187.77,161.39,59.17,25.61,289,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 12:00:00,515.47,152.87,155.3,59.05,24.02,252,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 12:15:00,423.63,164.06,169.58,112.88,28.8,227,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 12:30:00,407.08,192.52,155.07,77.2,24.42,189,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 12:45:00,371.86,136.93,222.86,83.05,31.97,120,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 13:00:00,552.24,175.65,159.88,53.75,22.39,139,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 13:15:00,488.36,181.31,293.3,60.39,23.98,81,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 13:30:00,583.68,155.85,240.57,117.82,22.82,284,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 13:45:00,449.92,113.16,244.39,91.29,22.12,208,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 14:00:00,362.25,139.98,265.27,116.75,30.62,199,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 14:15:00,373.28,83.22,172.09,100.44,31.06,236,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 14:30:00,452.14,189.49,166.98,118.89,31.33,299,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 14:45:00,350.91,93.18,202.26,108.47,30.37,186,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 15:00:00,461.92,173.69,223.39,97.82,26.58,176,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 15:15:00,474.37,146.66,226.12,53.91,24.48,128,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 15:30:00,443.05,80.08,153.42,93.47,26.71,92,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 15:45:00,939.1,108.8,367.45,204.58,26.12,215,True
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 16:00:00,572.13,157.64,201.25,95.63,22.74,192,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 16:15:00,363.57,176.79,212.49,70.04,22.21,268,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 16:30:00,351.24,99.6,209.49,80.29,29.48,199,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 16:45:00,422.54,82.07,230.1,115.96,24.9,114,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 17:00:00,493.58,163.84,170.67,81.95,23.59,176,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 17:15:00,422.88,118.59,186.61,78.99,25.48,150,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 17:30:00,394.39,164.18,222.47,113.27,23.72,130,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 17:45:00,552.07,100.17,172.3,50.53,22.35,81,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 18:00:00,366.03,124.19,215.08,59.93,28.14,188,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 18:15:00,386.84,124.9,204.54,67.94,23.19,202,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 18:30:00,398.46,161.79,173.57,75.16,25.61,168,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 18:45:00,587.51,176.09,227.56,95.34,23.11,292,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 19:00:00,400.73,170.82,251.4,59.01,30.78,11,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 19:15:00,522.85,164.13,259.19,75.37,30.58,41,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 19:30:00,585.0,168.38,164.98,87.77,26.62,28,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 19:45:00,460.93,120.65,250.82,114.11,22.22,32,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 20:00:00,444.46,140.26,193.71,52.94,22.25,4,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 20:15:00,563.69,192.83,187.68,73.45,30.83,15,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 20:30:00,379.07,186.05,223.23,73.92,27.37,48,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 20:45:00,586.8,101.96,278.98,68.54,26.71,26,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 21:00:00,397.8,180.06,219.77,60.05,31.9,23,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 21:15:00,369.92,117.55,225.26,91.72,27.73,18,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 21:30:00,567.49,180.04,288.25,93.76,25.58,45,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 21:45:00,451.13,114.08,214.94,60.25,28.75,38,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 22:00:00,443.39,106.74,191.08,96.12,31.41,18,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 22:15:00,589.73,182.81,155.61,91.09,29.28,27,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 22:30:00,544.4,139.45,265.97,106.93,29.55,12,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 22:45:00,563.12,178.29,180.53,95.32,27.38,35,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 23:00:00,527.14,123.65,289.02,58.23,30.47,22,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 23:15:00,439.59,133.82,268.06,70.58,22.86,39,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 23:30:00,390.9,161.24,199.48,107.18,26.53,15,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 23:45:00,504.75,174.62,175.89,52.94,26.27,26,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 00:00:00,543.32,108.19,237.08,117.44,25.44,41,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 00:15:00,512.94,198.17,200.21,64.72,29.8,13,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 00:30:00,570.54,116.95,176.51,53.72,26.9,41,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 00:45:00,467.52,114.94,295.42,111.48,24.41,15,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 01:00:00,474.18,111.38,184.06,58.92,28.63,38,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 01:15:00,563.66,199.75,273.93,56.27,31.29,28,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 01:30:00,416.55,172.51,264.42,83.12,25.28,21,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 01:45:00,1234.84,125.32,301.34,153.64,27.21,4,True
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 02:00:00,577.75,160.01,214.85,96.95,30.7,6,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 02:15:00,573.06,129.7,190.74,104.93,24.49,24,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 02:30:00,598.35,125.14,244.28,65.22,27.76,34,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 02:45:00,563.21,199.47,169.53,67.36,31.74,15,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 03:00:00,574.19,122.14,176.47,79.75,24.48,43,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 03:15:00,582.9,154.69,236.99,74.44,31.38,23,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 03:30:00,454.9,120.02,281.67,67.1,24.43,40,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 03:45:00,430.98,195.7,168.04,103.08,29.51,39,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 04:00:00,468.31,114.23,165.41,101.89,30.86,36,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 04:15:00,385.74,129.07,211.62,68.15,29.3,35,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 04:30:00,375.27,116.92,216.12,118.55,26.87,22,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 04:45:00,423.19,103.73,222.48,115.37,29.62,24,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 05:00:00,546.06,160.85,243.26,100.77,31.24,36,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 05:15:00,435.01,153.0,277.63,76.51,23.67,20,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 05:30:00,406.9,156.1,156.71,104.07,24.57,8,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 05:45:00,580.98,144.0,198.57,112.84,25.22,9,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 06:00:00,578.23,120.57,259.05,51.11,27.36,20,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 06:15:00,490.69,129.09,208.28,112.5,29.45,18,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 06:30:00,369.41,108.31,181.51,102.21,30.1,44,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 06:45:00,413.37,106.37,241.38,82.01,29.55,35,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 07:00:00,377.1,162.35,242.6,113.79,22.23,23,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 07:15:00,444.65,142.79,161.7,80.28,25.6,3,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 07:30:00,478.41,173.08,211.43,68.74,27.32,39,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 07:45:00,427.92,173.28,296.06,55.38,30.3,16,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 08:00:00,508.27,111.38,218.46,100.91,30.93,190,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 08:15:00,550.64,90.31,252.15,112.35,23.49,121,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 08:30:00,365.97,167.62,236.13,93.95,24.59,195,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 08:45:00,383.64,197.91,162.06,75.92,29.92,181,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 09:00:00,545.15,149.49,184.84,54.88,24.15,263,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 09:15:00,580.67,185.49,184.33,108.03,30.09,135,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 09:30:00,500.59,196.41,226.87,82.71,22.31,289,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 09:45:00,372.78,187.21,280.22,102.34,27.6,262,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 10:00:00,562.81,104.79,234.43,54.81,24.27,200,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 10:15:00,579.05,180.4,223.03,103.38,30.67,208,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 10:30:00,591.64,177.74,212.9,89.15,27.8,123,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 10:45:00,432.62,90.79,190.51,91.99,24.05,300,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 11:00:00,594.2,130.32,200.23,115.11,26.39,214,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 11:15:00,419.77,137.82,252.58,72.28,25.07,218,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 11:30:00,561.5,145.68,177.48,119.11,27.15,264,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 11:45:00,539.08,134.03,174.42,119.62,25.8,237,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 12:00:00,351.58,94.9,223.6,51.1,24.94,256,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 12:15:00,393.23,159.53,190.16,66.61,24.01,112,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 12:30:00,411.29,115.91,195.1,50.74,26.52,155,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 12:45:00,482.51,157.19,282.42,118.15,31.06,152,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 13:00:00,596.01,198.4,277.68,103.73,28.96,117,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 13:15:00,388.14,97.73,223.22,70.86,25.01,278,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 13:30:00,358.77,141.17,221.89,105.14,27.21,108,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 13:45:00,433.9,146.29,280.35,110.43,29.8,283,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 14:00:00,574.91,102.0,263.36,73.87,22.12,257,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 14:15:00,448.05,105.02,157.99,96.52,27.99,157,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 14:30:00,545.76,115.53,231.45,118.17,29.4,279,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 14:45:00,513.44,117.21,260.41,73.21,23.6,200,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 15:00:00,547.38,159.07,173.3,103.98,31.33,201,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 15:15:00,432.53,87.7,179.02,90.02,27.69,294,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 15:30:00,519.84,96.33,297.9,97.35,30.52,187,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 15:45:00,423.4,196.24,173.63,102.44,27.44,213,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 16:00:00,456.51,116.3,189.87,107.56,26.78,126,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 16:15:00,573.7,123.8,171.78,87.61,25.06,170,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 16:30:00,369.86,183.76,270.28,61.78,25.04,284,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 16:45:00,512.4,188.17,235.85,56.72,23.92,264,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 17:00:00,508.22,93.02,298.65,73.29,24.41,133,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 17:15:00,420.21,115.1,240.61,100.04,29.91,174,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 17:30:00,597.43,194.1,224.76,64.05,22.71,199,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 17:45:00,418.49,90.37,190.72,111.1,26.46,287,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 18:00:00,377.67,176.53,154.5,99.92,24.11,108,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 18:15:00,593.58,186.77,211.39,61.9,23.42,130,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 18:30:00,509.88,172.42,214.05,53.95,28.44,297,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 18:45:00,557.3,145.52,176.41,61.21,29.12,263,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 19:00:00,379.12,190.18,209.75,108.69,28.81,10,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 19:15:00,357.85,142.2,263.32,97.89,24.66,47,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 19:30:00,510.35,160.97,167.95,53.98,24.55,47,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 19:45:00,544.65,188.07,196.56,101.22,29.81,38,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 20:00:00,487.1,143.83,232.46,115.45,23.96,6,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 20:15:00,401.49,83.36,256.01,102.65,22.02,10,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 20:30:00,467.17,151.42,180.43,111.53,31.58,20,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 20:45:00,484.04,183.89,276.36,113.48,28.66,2,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 21:00:00,354.36,97.44,283.9,92.53,23.4,37,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 21:15:00,552.91,167.74,165.21,69.92,27.96,22,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 21:30:00,516.97,97.0,238.62,52.07,28.17,2,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 21:45:00,390.54,127.42,193.13,74.52,30.75,34,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 22:00:00,482.28,108.85,164.37,99.27,28.58,38,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 22:15:00,480.71,143.96,232.23,51.57,27.69,21,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 22:30:00,425.81,193.3,260.62,87.6,28.21,14,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 22:45:00,438.76,168.96,242.85,74.06,27.15,31,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 23:00:00,520.12,144.35,245.9,105.68,24.48,30,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 23:15:00,500.67,138.35,215.24,75.81,24.2,12,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-02 23:30:00,383.64,169.22,267.36,82.93,31.64,43,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-02 23:45:00,592.85,196.13,265.41,57.81,31.71,4,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 00:00:00,1067.21,164.39,477.39,171.78,28.59,39,True
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 00:15:00,771.74,191.09,557.02,210.6,27.65,30,True
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 00:30:00,565.66,154.78,161.1,53.73,26.04,48,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 00:45:00,584.02,141.23,245.5,66.13,22.56,18,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 01:00:00,595.2,146.08,159.15,88.81,22.2,50,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 01:15:00,550.16,117.54,277.9,119.15,28.87,3,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 01:30:00,543.04,81.29,264.42,89.24,22.13,20,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 01:45:00,570.86,121.16,237.33,68.96,26.59,18,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 02:00:00,478.77,87.87,257.92,70.51,22.98,30,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 02:15:00,495.96,142.7,269.1,75.39,22.09,35,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 02:30:00,490.17,189.7,230.53,55.38,27.74,16,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 02:45:00,576.12,109.6,163.13,53.92,24.0,45,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 03:00:00,472.19,158.66,243.61,62.55,31.17,41,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 03:15:00,431.12,141.15,254.32,114.37,28.35,3,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 03:30:00,547.05,148.25,160.56,83.87,22.15,37,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-03 03:45:00,572.52,81.97,180.42,119.38,30.02,22,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-03 04:00:00,551.01,97.06,163.32,93.71,23.04,7,False
