facility_id,facility_name,asset_id,asset_name,asset_type,building_name,block_name,timestamp,temperature_c,vibration_mm_s,pressure_bar,power_kw,runtime_hours,operating_hours,age_years,days_since_service,health_score,health_status,abnormal_behavior,maintenance_required,days_to_maintenance
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 04:00:00,58.81,1.99,5.66,20.31,0.98,1896.33,4,26.17,98.18,EXCELLENT,0,0,114
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 05:00:00,58.56,2.2,5.53,25.52,0.98,1897.32,4,26.21,98.68,EXCELLENT,0,0,138
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 06:00:00,63.38,2.01,5.76,25.39,0.43,1897.74,4,26.25,97.75,EXCELLENT,0,0,105
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 07:00:00,63.47,2.0,5.25,26.28,0.68,1898.42,4,26.29,97.79,EXCELLENT,0,0,139
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 08:00:00,54.69,2.01,5.35,35.28,0.57,1898.99,4,26.33,98.21,EXCELLENT,0,0,166
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 09:00:00,59.85,2.57,5.71,41.23,0.92,1899.91,4,26.38,97.16,EXCELLENT,0,0,122
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 10:00:00,58.85,2.2,5.91,41.22,0.64,1900.54,4,26.42,97.15,EXCELLENT,0,0,138
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 11:00:00,51.87,1.97,5.47,43.68,0.92,1901.46,4,26.46,98.67,EXCELLENT,0,0,94
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 12:00:00,61.79,2.28,5.41,42.12,0.48,1901.94,4,26.5,98.42,EXCELLENT,0,0,166
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 13:00:00,58.84,2.32,5.5,33.47,0.69,1902.63,4,26.54,98.8,EXCELLENT,0,0,139
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 14:00:00,99.21,4.45,6.48,54.59,0.48,1903.11,4,26.58,0.0,CRITICAL,1,1,5
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 15:00:00,53.6,2.26,5.36,34.54,0.95,1904.05,4,26.62,98.26,EXCELLENT,0,0,140
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 16:00:00,62.9,2.15,5.93,42.92,0.44,1904.49,4,26.67,97.1,EXCELLENT,0,0,95
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 17:00:00,59.47,2.48,5.07,38.43,0.48,1904.97,4,26.71,97.07,EXCELLENT,0,0,164
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 18:00:00,57.81,1.92,5.65,35.42,0.68,1905.65,4,26.75,98.21,EXCELLENT,0,0,139
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 19:00:00,57.27,2.35,5.34,20.32,0.42,1906.07,4,26.79,98.17,EXCELLENT,0,0,94
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 20:00:00,54.75,2.06,5.14,26.42,0.42,1906.5,4,26.83,97.36,EXCELLENT,0,0,175
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 21:00:00,58.09,2.17,5.43,17.45,0.51,1907.01,4,26.88,98.53,EXCELLENT,0,0,145
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 22:00:00,59.89,1.82,5.91,25.97,0.42,1907.43,4,26.92,97.16,EXCELLENT,0,0,96
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 23:00:00,57.38,2.32,5.7,21.85,0.46,1907.89,4,26.96,98.02,EXCELLENT,0,0,117
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 00:00:00,53.85,1.93,5.3,13.05,0.93,1908.83,4,27.0,98.01,EXCELLENT,0,0,157
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 01:00:00,57.12,2.13,6.15,23.86,0.73,1909.56,4,27.04,96.19,EXCELLENT,0,0,172
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 02:00:00,59.39,2.38,5.41,16.7,0.7,1910.26,4,27.08,98.45,EXCELLENT,0,0,122
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 03:00:00,59.49,2.05,5.12,17.81,0.45,1910.71,4,27.12,97.29,EXCELLENT,0,0,113
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 04:00:00,57.9,2.21,5.25,28.56,0.47,1911.18,4,27.17,97.8,EXCELLENT,0,0,164
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 05:00:00,57.87,2.06,5.73,28.69,0.96,1912.14,4,27.21,97.89,EXCELLENT,0,0,97
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 06:00:00,55.56,2.09,5.65,23.32,0.72,1912.86,4,27.25,98.21,EXCELLENT,0,0,103
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 07:00:00,55.96,1.92,5.58,25.96,0.43,1913.29,4,27.29,98.48,EXCELLENT,0,0,99
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 08:00:00,67.99,2.53,5.83,52.5,0.48,1913.77,4,27.33,86.71,EXCELLENT,1,0,138
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 09:00:00,56.6,2.58,5.35,40.88,0.96,1914.73,4,27.38,97.24,EXCELLENT,0,0,149
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 10:00:00,58.84,2.1,5.35,42.78,0.5,1915.22,4,27.42,98.21,EXCELLENT,0,0,167
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 11:00:00,60.18,2.12,5.86,38.16,0.66,1915.89,4,27.46,97.36,EXCELLENT,0,0,140
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 12:00:00,52.18,2.58,4.94,43.19,0.63,1916.52,4,27.5,95.59,EXCELLENT,0,0,142
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 13:00:00,55.79,2.27,5.55,46.26,0.6,1917.12,4,27.54,98.6,EXCELLENT,0,0,104
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 14:00:00,62.26,2.19,5.75,46.96,0.87,1917.99,4,27.58,97.81,EXCELLENT,0,0,157
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 15:00:00,59.2,2.28,5.81,38.59,0.47,1918.46,4,27.62,97.55,EXCELLENT,0,0,177
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 16:00:00,97.04,3.62,3.55,51.61,0.86,1919.32,4,27.67,8.54,CRITICAL,1,1,6
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 17:00:00,56.3,2.25,6.29,37.78,0.92,1920.24,4,27.71,95.63,EXCELLENT,0,0,157
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 18:00:00,58.12,2.05,5.89,41.53,0.51,1920.76,4,27.75,97.24,EXCELLENT,0,0,90
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 19:00:00,56.76,2.83,5.66,26.01,0.6,1921.36,4,27.79,91.94,EXCELLENT,0,0,115
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 20:00:00,57.67,2.41,4.8,19.02,0.61,1921.97,4,27.83,96.02,EXCELLENT,0,0,106
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 21:00:00,59.57,2.32,5.04,25.95,0.57,1922.53,4,27.88,96.96,EXCELLENT,0,0,174
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 22:00:00,56.25,2.19,5.63,25.06,0.72,1923.25,4,27.92,98.28,EXCELLENT,0,0,160
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-04 23:00:00,58.44,2.2,5.49,23.95,0.52,1923.78,4,27.96,98.77,EXCELLENT,0,0,134
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 00:00:00,57.64,2.28,5.85,22.87,0.72,1924.49,4,28.0,97.4,EXCELLENT,0,0,127
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 01:00:00,55.5,2.13,5.29,26.23,0.56,1925.06,4,28.04,97.94,EXCELLENT,0,0,123
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 02:00:00,57.54,2.43,5.88,22.53,0.41,1925.47,4,28.08,97.27,EXCELLENT,0,0,156
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 03:00:00,55.18,2.63,5.63,30.9,0.98,1926.45,4,28.12,96.24,EXCELLENT,0,0,143
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 04:00:00,59.05,2.35,5.41,18.54,0.65,1927.1,4,28.17,98.43,EXCELLENT,0,0,136
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 05:00:00,54.87,2.45,5.35,23.05,0.9,1928.0,4,28.21,98.19,EXCELLENT,0,0,98
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 06:00:00,57.76,2.25,5.47,19.74,0.92,1928.92,4,28.25,98.68,EXCELLENT,0,0,176
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 07:00:00,59.0,2.11,5.48,27.23,0.78,1929.7,4,28.29,98.73,EXCELLENT,0,0,111
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 08:00:00,53.72,2.2,5.6,42.41,0.41,1930.11,4,28.33,98.38,EXCELLENT,0,0,174
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 09:00:00,56.05,2.01,5.5,43.31,0.83,1930.94,4,28.38,98.8,EXCELLENT,0,0,175
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 10:00:00,51.55,2.61,5.97,30.98,0.95,1931.89,4,28.42,95.38,EXCELLENT,0,0,151
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 11:00:00,59.28,2.11,5.56,35.51,0.63,1932.52,4,28.46,98.56,EXCELLENT,0,0,125
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 12:00:00,59.45,2.34,4.97,47.31,0.96,1933.49,4,28.5,96.7,EXCELLENT,0,0,122
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 13:00:00,57.24,1.89,5.54,36.06,0.97,1934.46,4,28.54,98.63,EXCELLENT,0,0,162
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 14:00:00,58.58,2.19,6.03,41.25,0.55,1935.01,4,28.58,96.68,EXCELLENT,0,0,133
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 15:00:00,62.53,2.45,5.32,46.27,0.45,1935.46,4,28.62,98.09,EXCELLENT,0,0,172
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 16:00:00,62.86,2.34,5.82,44.37,0.55,1936.01,4,28.67,97.5,EXCELLENT,0,0,104
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 17:00:00,59.15,2.24,5.39,41.95,1.0,1937.01,4,28.71,98.34,EXCELLENT,0,0,175
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 18:00:00,56.66,2.31,5.44,47.8,0.91,1937.91,4,28.75,98.54,EXCELLENT,0,0,106
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 19:00:00,57.8,2.43,4.9,26.83,0.72,1938.63,4,28.79,96.39,EXCELLENT,0,0,176
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 20:00:00,57.87,2.3,4.92,14.02,0.78,1939.41,4,28.83,96.48,EXCELLENT,0,0,131
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 21:00:00,60.61,1.93,4.79,26.48,0.96,1940.37,4,28.88,95.95,EXCELLENT,0,0,135
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 22:00:00,55.03,2.07,5.92,25.65,0.92,1941.29,4,28.92,97.11,EXCELLENT,0,0,99
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-05 23:00:00,57.09,2.27,4.87,11.36,0.91,1942.2,4,28.96,96.3,EXCELLENT,0,0,126
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 00:00:00,57.25,1.72,5.14,12.62,0.97,1943.17,4,29.0,97.35,EXCELLENT,0,0,132
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 01:00:00,59.71,2.41,5.56,22.98,0.9,1944.08,4,29.04,98.55,EXCELLENT,0,0,163
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 02:00:00,56.35,2.1,5.47,16.69,0.53,1944.61,4,29.08,98.68,EXCELLENT,0,0,109
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 03:00:00,60.99,2.11,5.15,31.33,0.49,1945.1,4,29.12,97.39,EXCELLENT,0,0,102
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 04:00:00,60.62,2.79,5.78,15.87,0.93,1946.02,4,29.17,92.37,EXCELLENT,0,0,118
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 05:00:00,58.41,2.34,5.83,25.62,0.65,1946.67,4,29.21,97.5,EXCELLENT,0,0,161
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 06:00:00,58.26,2.21,5.31,27.21,0.74,1947.41,4,29.25,98.04,EXCELLENT,0,0,129
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-06 07:00:00,58.09,2.35,5.39,24.5,0.91,1948.32,4,29.29,98.37,EXCELLENT,0,0,130
