cost_record_id,facility_id,facility_name,building_id,building_name,timestamp,occupancy,electricity_kwh,hvac_kwh,lighting_kwh,water_liters,electricity_cost,water_cost,maintenance_cost,security_cost,operational_cost,total_cost,expected_cost,cost_variance,cost_variance_percent,potential_savings,cost_per_occupant,inefficiency_type,cost_status,savings_priority,is_cost_inefficiency
COST-000027,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 18:00:00,42,379.72,194.55,67.87,114.54,3227.65,6.3,502.33,167.04,261.43,4164.76,4402.78,-238.02,-5.41,0.0,99.16,NONE,NORMAL,NORMAL,0
COST-000028,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 19:00:00,42,426.42,206.23,76.4,128.78,3624.56,7.08,385.32,191.14,284.19,4492.29,4402.78,89.51,2.03,89.51,106.96,NONE,NORMAL,LOW,0
COST-000029,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 20:00:00,44,528.19,261.87,92.7,132.66,4489.63,7.3,392.78,175.52,228.33,5293.56,4402.78,890.78,20.23,890.78,120.31,NONE,HIGH,HIGH,0
COST-000030,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 21:00:00,13,276.28,125.95,46.41,83.19,2348.41,4.58,435.26,163.1,223.91,3175.25,3295.55,-120.29,-3.65,0.0,244.25,NONE,NORMAL,NORMAL,0
COST-000031,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 22:00:00,12,307.8,127.81,51.27,77.92,2616.31,4.29,350.34,163.86,262.45,3397.24,3295.55,101.69,3.09,101.69,283.1,NONE,NORMAL,LOW,0
COST-000032,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 23:00:00,13,328.92,160.23,65.23,86.84,2795.83,4.78,390.26,190.63,242.12,3623.62,3295.55,328.07,9.96,328.07,278.74,NONE,WARNING,MEDIUM,0
COST-000033,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 00:00:00,7,232.12,93.55,45.82,79.95,1973.03,4.4,365.11,167.63,240.52,2750.69,2853.23,-102.54,-3.59,0.0,392.96,NONE,NORMAL,NORMAL,0
COST-000034,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 01:00:00,9,262.92,126.0,39.33,79.34,2234.8,4.36,459.97,181.96,268.71,3149.81,2853.23,296.58,10.39,296.58,349.98,NONE,WARNING,MEDIUM,0
COST-000035,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 02:00:00,7,226.07,100.08,41.38,79.58,1921.58,4.38,352.44,179.7,257.93,2716.02,2853.23,-137.2,-4.81,0.0,388.0,NONE,NORMAL,NORMAL,0
COST-000036,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 03:00:00,9,229.86,102.94,39.79,69.18,1953.83,3.8,343.61,175.49,269.82,2746.55,2853.23,-106.67,-3.74,0.0,305.17,NONE,NORMAL,NORMAL,0
COST-000037,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 04:00:00,9,234.17,112.18,33.11,160.88,1990.42,8.85,449.76,182.64,231.02,2862.7,2853.23,9.48,0.33,11.24,318.08,HIGH_WATER_USAGE,NORMAL,LOW,1
COST-000038,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 05:00:00,7,241.88,114.92,45.34,79.72,2056.0,4.38,370.72,171.86,237.74,2840.71,2853.23,-12.52,-0.44,0.0,405.82,NONE,NORMAL,NORMAL,0
COST-000039,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 06:00:00,45,386.96,183.49,59.42,118.44,3289.15,6.51,393.22,171.39,259.69,4119.96,4182.18,-62.22,-1.49,0.0,91.55,NONE,NORMAL,NORMAL,0
COST-000040,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 07:00:00,54,361.53,185.25,47.99,144.35,3072.98,7.94,498.55,181.73,254.03,4015.23,4182.18,-166.95,-3.99,0.0,74.36,NONE,NORMAL,NORMAL,0
COST-000041,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 08:00:00,56,436.08,212.72,60.59,135.64,3706.7,7.46,430.39,170.59,274.03,4589.18,4182.18,407.0,9.73,407.0,81.95,NONE,WARNING,MEDIUM,0
COST-000042,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 09:00:00,88,561.89,250.23,94.06,223.55,4776.07,12.3,401.46,172.71,228.8,5591.34,5954.56,-363.23,-6.1,0.0,63.54,NONE,NORMAL,NORMAL,0
COST-000043,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 10:00:00,100,639.19,329.07,113.38,187.67,5433.13,10.32,351.41,183.69,264.19,6242.73,5954.56,288.17,4.84,288.17,62.43,NONE,NORMAL,MEDIUM,0
COST-000044,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 11:00:00,69,583.66,298.67,115.68,214.44,4961.1,11.79,345.39,188.53,263.58,5770.4,5954.56,-184.16,-3.09,0.0,83.63,NONE,NORMAL,NORMAL,0
COST-000045,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 12:00:00,114,618.77,311.87,116.76,186.04,5259.5,10.23,485.84,167.28,261.04,6183.89,5954.56,229.33,3.85,229.33,54.24,NONE,NORMAL,MEDIUM,0
COST-000046,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 13:00:00,100,616.65,310.53,118.17,185.66,5241.52,10.21,488.49,183.31,248.32,6171.84,5954.56,217.28,3.65,217.28,61.72,NONE,NORMAL,MEDIUM,0
COST-000047,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 14:00:00,103,675.89,301.01,121.23,196.93,5745.08,10.83,378.62,176.59,265.57,6576.7,5954.56,622.13,10.45,622.13,63.85,NONE,WARNING,HIGH,0
COST-000048,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 15:00:00,92,633.66,316.03,115.39,223.17,5386.13,12.27,375.9,176.41,258.26,6208.98,5954.56,254.41,4.27,254.41,67.49,NONE,NORMAL,MEDIUM,0
COST-000049,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 16:00:00,105,562.67,254.53,104.74,211.02,4782.66,11.61,343.29,195.29,292.69,5625.53,5954.56,-329.03,-5.53,0.0,53.58,NONE,NORMAL,NORMAL,0
COST-000050,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 17:00:00,43,440.56,180.21,62.4,112.74,3744.8,6.2,385.47,197.85,275.36,4609.69,4402.78,206.91,4.7,206.91,107.2,NONE,NORMAL,MEDIUM,0
COST-000051,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 18:00:00,48,395.57,201.67,77.97,121.84,3362.32,6.7,392.39,168.11,271.45,4200.97,4402.78,-201.81,-4.58,0.0,87.52,NONE,NORMAL,NORMAL,0
COST-000052,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 19:00:00,39,376.62,162.67,58.46,117.74,3201.24,6.48,412.14,163.16,242.82,4025.85,4402.78,-376.93,-8.56,0.0,103.23,NONE,NORMAL,NORMAL,0
COST-000053,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 20:00:00,49,372.54,161.13,51.9,139.86,3166.55,7.69,349.9,193.56,264.02,3981.73,4402.78,-421.05,-9.56,0.0,81.26,NONE,NORMAL,NORMAL,0
COST-000054,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 21:00:00,10,279.8,138.03,45.78,74.92,2378.29,4.12,399.29,188.98,251.65,3222.34,3295.55,-73.2,-2.22,0.0,322.23,NONE,NORMAL,NORMAL,0
COST-000055,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 22:00:00,12,310.67,126.64,41.19,84.1,2640.74,4.63,461.99,194.87,266.64,3568.86,3295.55,273.32,8.29,273.32,297.41,NONE,WARNING,MEDIUM,0
COST-000056,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-24 23:00:00,11,304.5,135.61,44.72,88.02,2588.26,4.84,378.24,171.89,237.16,3380.4,3295.55,84.86,2.57,84.86,307.31,NONE,NORMAL,LOW,0
COST-000057,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 00:00:00,8,242.1,98.2,36.03,76.84,2057.84,4.23,475.67,173.08,284.68,2995.49,2853.23,142.26,4.99,142.26,374.44,NONE,NORMAL,LOW,0
COST-000058,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 01:00:00,8,240.78,110.18,38.39,85.1,2046.6,4.68,443.41,190.98,291.45,2977.12,2853.23,123.9,4.34,123.9,372.14,NONE,NORMAL,LOW,0
COST-000059,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 02:00:00,8,234.81,111.06,40.99,71.51,1995.9,3.93,427.97,178.23,292.02,2898.06,2853.23,44.83,1.57,44.83,362.26,NONE,NORMAL,LOW,0
COST-000060,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 03:00:00,8,237.6,114.93,44.14,65.27,2019.64,3.59,477.47,189.68,226.17,2916.55,2853.23,63.32,2.22,63.32,364.57,NONE,NORMAL,LOW,0
COST-000061,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 04:00:00,8,226.12,99.87,32.71,65.66,1921.98,3.61,413.3,183.05,252.22,2774.17,2853.23,-79.06,-2.77,0.0,346.77,NONE,NORMAL,NORMAL,0
COST-000062,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 05:00:00,9,219.13,105.97,34.8,80.3,1862.57,4.42,422.56,197.03,267.95,2754.53,2853.23,-98.7,-3.46,0.0,306.06,NONE,NORMAL,NORMAL,0
COST-000063,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 06:00:00,50,375.57,165.78,57.96,131.03,3192.31,7.21,395.81,194.19,231.04,4020.56,4182.18,-161.62,-3.86,0.0,80.41,NONE,NORMAL,NORMAL,0
COST-000064,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 07:00:00,44,356.74,146.64,58.39,118.39,3032.25,6.51,421.96,167.65,250.43,3878.8,4182.18,-303.38,-7.25,0.0,88.15,NONE,NORMAL,NORMAL,0
COST-000065,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 08:00:00,48,368.84,191.19,61.8,130.13,3135.11,7.16,425.25,187.94,225.86,3981.32,4182.18,-200.86,-4.8,0.0,82.94,NONE,NORMAL,NORMAL,0
COST-000066,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 09:00:00,105,634.29,310.77,83.81,218.17,5391.43,12.0,395.5,176.3,229.18,6204.41,5954.56,249.84,4.2,249.84,59.09,NONE,NORMAL,MEDIUM,0
COST-000067,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 10:00:00,96,622.12,290.95,117.49,211.52,5288.01,11.63,393.61,179.06,248.7,6121.01,5954.56,166.45,2.8,166.45,63.76,NONE,NORMAL,LOW,0
COST-000068,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 11:00:00,95,585.52,275.26,106.32,246.8,4976.93,13.57,434.54,182.32,250.54,5857.91,5954.56,-96.66,-1.62,0.0,61.66,NONE,NORMAL,NORMAL,0
COST-000069,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 12:00:00,112,585.89,277.07,86.19,175.28,4980.04,9.64,337.27,170.11,249.5,5746.55,5954.56,-208.01,-3.49,0.0,51.31,NONE,NORMAL,NORMAL,0
COST-000070,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 13:00:00,104,647.76,265.94,120.75,209.56,5505.99,11.53,477.51,163.86,222.42,6381.3,5954.56,426.74,7.17,426.74,61.36,NONE,WARNING,MEDIUM,0
COST-000071,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 14:00:00,106,636.0,324.42,82.92,210.1,5406.03,11.56,473.9,187.86,262.73,6342.09,5954.56,387.52,6.51,387.52,59.83,NONE,WARNING,MEDIUM,0
COST-000072,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 15:00:00,109,649.99,275.99,128.54,208.81,5524.91,11.48,369.52,188.5,262.33,6356.74,5954.56,402.18,6.75,402.18,58.32,NONE,WARNING,MEDIUM,0
COST-000073,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 16:00:00,115,629.99,258.59,104.22,206.92,5354.91,11.38,398.03,178.35,263.79,6206.47,5954.56,251.9,4.23,251.9,53.97,NONE,NORMAL,MEDIUM,0
COST-000074,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 17:00:00,44,375.23,180.91,51.09,125.51,3189.42,6.9,336.46,166.2,257.91,3956.89,4402.78,-445.89,-10.13,0.0,89.93,NONE,NORMAL,NORMAL,0
COST-000075,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 18:00:00,47,429.53,177.31,81.42,117.73,3650.98,6.48,502.48,169.38,250.58,4579.89,4402.78,177.11,4.02,177.11,97.44,NONE,NORMAL,LOW,0
COST-000076,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 19:00:00,48,421.34,170.97,77.82,126.73,3581.42,6.97,462.08,190.78,285.36,4526.62,4402.78,123.84,2.81,123.84,94.3,NONE,NORMAL,LOW,0
COST-000077,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 20:00:00,39,396.18,188.6,76.68,131.34,3367.5,7.22,411.93,187.7,291.17,4265.52,4402.78,-137.26,-3.12,0.0,109.37,NONE,NORMAL,NORMAL,0
COST-000078,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 21:00:00,10,300.17,135.87,51.16,97.25,2551.47,5.35,401.77,181.15,226.2,3365.93,3295.55,70.38,2.14,70.38,336.59,NONE,NORMAL,LOW,0
COST-000079,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 22:00:00,12,255.36,115.37,39.15,88.71,2170.56,4.88,483.61,179.84,278.83,3117.72,3295.55,-177.83,-5.4,0.0,259.81,NONE,NORMAL,NORMAL,0
COST-000080,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-25 23:00:00,13,302.58,149.3,42.37,89.33,2571.93,4.91,455.96,179.78,279.86,3492.45,3295.55,196.9,5.97,196.9,268.65,NONE,WARNING,LOW,0
COST-000081,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 00:00:00,8,218.48,97.32,35.39,77.19,1857.1,4.25,417.71,176.72,281.21,2736.98,2853.23,-116.24,-4.07,0.0,342.12,NONE,NORMAL,NORMAL,0
COST-000082,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 01:00:00,10,234.45,109.69,42.23,76.02,1992.8,4.18,474.9,196.53,247.72,2916.12,2853.23,62.9,2.2,62.9,291.61,NONE,NORMAL,LOW,0
COST-000083,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 02:00:00,8,210.21,91.35,36.38,75.2,1786.81,4.14,435.62,165.68,292.66,2684.91,2853.23,-168.32,-5.9,0.0,335.61,NONE,NORMAL,NORMAL,0
COST-000084,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 03:00:00,8,253.74,112.9,34.21,80.98,2156.77,4.45,353.51,192.26,292.03,2999.03,2853.23,145.8,5.11,145.8,374.88,NONE,WARNING,LOW,0
COST-000085,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 04:00:00,8,226.3,95.01,32.37,73.94,1923.52,4.07,374.2,183.88,250.59,2736.26,2853.23,-116.96,-4.1,0.0,342.03,NONE,NORMAL,NORMAL,0
COST-000086,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 05:00:00,9,220.95,109.27,38.06,80.91,1878.1,4.45,405.64,193.09,292.99,2774.27,2853.23,-78.96,-2.77,0.0,308.25,NONE,NORMAL,NORMAL,0
COST-000087,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 06:00:00,39,313.98,160.2,53.72,135.42,2668.83,7.45,341.69,173.21,281.88,3473.06,4182.18,-709.12,-16.96,0.0,89.05,NONE,NORMAL,NORMAL,0
COST-000088,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 07:00:00,40,365.24,155.42,60.65,122.98,3104.55,6.76,413.11,182.06,288.13,3994.62,4182.18,-187.56,-4.48,0.0,99.87,NONE,NORMAL,NORMAL,0
COST-000089,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 08:00:00,40,394.06,171.79,59.78,116.27,3349.55,6.4,394.7,178.86,269.75,4199.25,4182.18,17.07,0.41,17.07,104.98,NONE,NORMAL,LOW,0
COST-000090,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 09:00:00,84,643.46,302.75,96.89,203.61,5469.45,11.2,424.64,181.24,258.52,6345.06,5954.56,390.49,6.56,390.49,75.54,NONE,WARNING,MEDIUM,0
COST-000091,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 10:00:00,121,597.25,246.28,91.62,212.1,5076.62,11.67,486.77,180.96,283.46,6039.47,5954.56,84.91,1.43,84.91,49.91,NONE,NORMAL,LOW,0
COST-000092,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 11:00:00,103,587.25,273.78,86.78,227.48,4991.62,12.51,420.93,183.42,247.46,5855.94,5954.56,-98.62,-1.66,0.0,56.85,NONE,NORMAL,NORMAL,0
COST-000093,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 12:00:00,115,605.22,282.52,109.22,231.27,5144.4,12.72,494.66,167.08,252.7,6071.56,5954.56,116.99,1.96,116.99,52.8,NONE,NORMAL,LOW,0
COST-000094,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 13:00:00,109,572.74,272.62,103.96,205.93,4868.29,11.33,356.63,193.55,271.15,5700.94,5954.56,-253.62,-4.26,0.0,52.3,NONE,NORMAL,NORMAL,0
COST-000095,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 14:00:00,38,757.32,289.24,93.48,202.54,6437.24,11.14,404.78,181.87,255.02,7290.05,5954.56,1335.49,22.43,2107.96,191.84,LOW_OCCUPANCY_HIGH_ENERGY,HIGH,CRITICAL,1
COST-000096,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 15:00:00,116,606.83,298.34,84.84,208.62,5158.08,11.47,417.89,194.2,283.39,6065.04,5954.56,110.47,1.86,110.47,52.28,NONE,NORMAL,LOW,0
COST-000097,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 16:00:00,101,595.62,257.45,100.01,187.57,5062.74,10.32,476.27,197.44,262.0,6008.77,5954.56,54.2,0.91,54.2,59.49,NONE,NORMAL,LOW,0
COST-000098,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 17:00:00,45,400.28,161.0,77.66,115.58,3402.4,6.36,432.85,171.87,264.23,4277.7,4402.78,-125.08,-2.84,0.0,95.06,NONE,NORMAL,NORMAL,0
COST-000099,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 18:00:00,46,429.76,182.55,56.2,125.77,3652.98,6.92,447.73,168.31,292.32,4568.26,4402.78,165.48,3.76,165.48,99.31,NONE,NORMAL,LOW,0
COST-000100,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 19:00:00,46,362.39,167.52,48.3,110.63,3080.35,6.08,459.99,164.98,268.05,3979.45,4402.78,-423.33,-9.62,0.0,86.51,NONE,NORMAL,NORMAL,0
COST-000101,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 20:00:00,39,375.04,163.01,58.09,113.63,3187.82,6.25,415.98,185.89,294.07,4090.01,4402.78,-312.76,-7.1,0.0,104.87,NONE,NORMAL,NORMAL,0
COST-000102,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 21:00:00,13,268.82,108.53,39.88,87.28,2284.93,4.8,344.64,179.87,267.55,3081.8,3295.55,-213.75,-6.49,0.0,237.06,NONE,NORMAL,NORMAL,0
COST-000103,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 22:00:00,14,271.92,112.25,36.78,82.42,2311.34,4.53,409.05,170.87,284.89,3180.68,3295.55,-114.86,-3.49,0.0,227.19,NONE,NORMAL,NORMAL,0
COST-000104,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-26 23:00:00,14,298.66,129.22,51.17,89.08,2538.62,4.9,351.39,195.02,231.67,3321.6,3295.55,26.05,0.79,26.05,237.26,NONE,NORMAL,LOW,0
COST-000105,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-27 00:00:00,8,244.17,103.09,41.0,79.19,2075.42,4.36,446.68,186.92,287.24,3000.61,2853.23,147.38,5.17,147.38,375.08,NONE,WARNING,LOW,0
